"gender","age","income","overage","underage","phone","price","lines","bill","churn"
1,25,71964,7,2,"and",437.06,3,66.99,"neg"
1,68,25385,0,18,"and",382.38,2,62.16,"neg"
1,32,46952,30,2,"ios",642.82,1,83.56,"pos"
1,65,71602,9,6,"and",210.69,2,95.44,"pos"
1,74,36966,5,23,"and",188.13,1,64.52,"neg"
0,20,53238,2,5,"and",893.43,3,92.94,"neg"
1,50,102009,33,0,"ios",357.03,2,81.11,"pos"
0,58,222734,7,0,"and",201.64,5,132.77,"neg"
0,48,65638,0,36,"and",838.75,2,87.9,"neg"
0,59,127567,21,34,"and",537,5,152.31,"pos"
0,54,42950,9,27,"and",404.44,2,101.17,"pos"
1,76,211399,49,17,"and",785.05,3,79.42,"pos"
1,75,27219,1,0,"and",823.5,2,76.99,"neg"
0,78,82050,52,3,"ios",351.73,2,110.51,"pos"
1,52,61100,47,25,"and",460.83,4,120.37,"neg"
1,22,299330,17,14,"and",667.25,2,103.53,"pos"
1,64,69425,0,26,"ios",477.66,1,79.84,"pos"
0,60,82875,0,30,"and",562,2,82.54,"neg"
1,29,54792,30,33,"and",273.24,2,89.55,"neg"
1,45,92773,0,6,"and",125.5,1,63.96,"pos"
0,25,35477,37,15,"and",316.88,2,76.14,"neg"
0,76,36113,19,27,"and",224.25,2,76.51,"neg"
1,64,32534,6,11,"and",825.52,3,120.1,"neg"
0,48,328276,43,16,"and",104.54,2,98.61,"pos"
0,63,53620,3,33,"and",736.28,1,67.74,"neg"
1,47,37990,52,0,"ios",799.82,2,94.86,"pos"
1,52,57094,0,0,"and",249.53,4,111.23,"neg"
0,50,20477,9,17,"ios",567.3,2,82.32,"neg"
1,21,33854,0,5,"and",705.66,1,73.52,"neg"
1,68,184171,19,20,"ios",974.84,4,108.64,"pos"
1,61,27865,2,10,"and",246.22,2,78.77,"neg"
1,23,91313,32,29,"and",875.1,1,54.3,"neg"
0,59,88504,0,0,"and",254.89,1,47.78,"neg"
1,42,25398,3,0,"and",588.68,3,128.07,"neg"
0,39,53019,0,0,"and",807.78,4,118.13,"neg"
1,29,47039,36,0,"and",136.85,4,115.7,"neg"
0,34,63162,7,0,"and",387.2,2,97.69,"neg"
1,47,80054,54,11,"and",655.54,2,70.63,"pos"
0,23,54351,42,18,"and",519.24,5,158.45,"neg"
1,44,51162,35,12,"ios",428.75,2,101.2,"pos"
1,73,51766,22,38,"ios",400.8,2,89.3,"neg"
0,60,23597,12,0,"and",412.04,3,105.85,"neg"
1,50,188949,33,0,"and",754.65,2,96.93,"pos"
1,37,54022,35,27,"and",544.42,2,82.35,"neg"
1,47,18720,40,37,"and",510.4,2,91.94,"pos"
1,24,306019,0,0,"and",655.45,3,82.95,"pos"
0,56,16826,63,0,"and",297.85,3,108.9,"neg"
0,44,107380,33,0,"and",542.9,3,88.62,"neg"
0,71,101384,18,0,"and",358.59,3,104.01,"neg"
0,58,26022,10,10,"and",313.03,2,67.12,"neg"
1,38,250386,26,4,"and",433.57,2,62.86,"pos"
0,22,25121,42,13,"and",120.15,1,65.01,"neg"
1,35,49498,12,12,"ios",527.64,1,66.64,"pos"
1,57,74178,30,21,"and",285.56,2,110.95,"neg"
0,65,47913,0,13,"and",868.6,1,49.33,"neg"
0,57,57208,31,5,"and",684.06,4,124.78,"neg"
0,60,81559,16,33,"ios",477.9,1,63.95,"pos"
1,61,294652,0,42,"ios",694.98,1,77.19,"pos"
0,26,28444,7,0,"ios",909.57,4,110.66,"neg"
0,69,88240,19,2,"and",301.1,2,75.54,"pos"
0,32,27240,20,7,"and",651.8,5,142.2,"neg"
1,29,114774,59,14,"ios",629.02,2,81,"pos"
0,45,132064,77,5,"and",149.06,1,79.37,"pos"
1,47,35951,6,25,"and",473.9,1,62.17,"neg"
0,23,47967,71,1,"and",129.29,3,122.74,"pos"
0,21,21276,25,0,"and",855.25,1,64.85,"neg"
1,37,29285,15,26,"and",697.12,2,103.46,"neg"
0,49,26770,9,35,"and",306.52,4,135.83,"neg"
0,45,32007,38,24,"and",882.4,5,138.24,"neg"
1,24,36329,38,24,"and",732.59,1,74.68,"neg"
0,20,64285,9,7,"and",419.06,2,63.91,"neg"
0,68,19867,42,10,"and",587.52,4,125.45,"pos"
0,39,26031,9,49,"ios",998.09,1,57.33,"pos"
1,73,28679,12,13,"ios",581.32,1,67.09,"neg"
1,61,61304,20,26,"and",454.99,4,136.14,"pos"
1,24,31291,23,0,"and",176.91,1,60.47,"neg"
1,40,196106,42,29,"ios",829.97,4,106.73,"pos"
0,52,48933,0,0,"and",703.75,1,62.29,"neg"
0,64,35800,11,22,"ios",357.94,1,59.42,"pos"
0,73,34023,18,46,"and",651.19,1,80.21,"neg"
0,38,37171,64,0,"ios",934.01,4,132.84,"neg"
1,73,76228,18,23,"and",655.99,4,128.13,"pos"
0,68,72535,36,34,"and",422.28,2,94.18,"pos"
1,59,91551,29,22,"and",159.69,3,93.75,"pos"
1,41,23119,36,5,"and",814.98,5,102.53,"neg"
1,60,22544,18,10,"and",148.17,5,140.38,"neg"
1,44,235153,66,24,"and",538.73,4,102.26,"pos"
1,74,23611,36,30,"and",466.03,2,117.18,"neg"
0,23,121263,39,21,"ios",881,4,110.36,"pos"
1,23,20646,27,30,"ios",484.52,2,97.26,"pos"
1,38,79243,18,1,"and",504.39,5,109.62,"neg"
1,46,34483,44,0,"and",671.92,2,76.72,"neg"
1,37,15812,16,47,"and",539.16,1,57.22,"pos"
0,73,43544,14,10,"and",616.98,4,136.27,"neg"
0,62,39990,22,31,"and",299.63,1,60.84,"pos"
1,64,25168,75,0,"and",308.82,1,73.29,"pos"
0,25,76684,70,25,"and",864.38,1,86.23,"pos"
1,38,28870,52,29,"and",650.01,1,65.3,"pos"
0,53,154883,19,1,"ios",502.31,4,99.24,"pos"
1,35,46442,0,0,"and",639.05,4,79.62,"neg"
0,35,258517,0,19,"and",746.81,1,69.4,"pos"
0,61,77129,51,38,"ios",478.27,1,76.25,"pos"
1,34,118801,0,17,"ios",906.43,2,82.16,"pos"
0,76,25232,55,23,"ios",735.84,1,62.43,"pos"
0,37,81372,53,8,"and",851.4,2,70.98,"pos"
0,77,58179,85,36,"and",807.03,2,76.11,"pos"
1,64,98650,48,16,"other",67.04,1,88.5,"pos"
1,47,37336,40,7,"and",255.28,2,99.95,"neg"
0,47,260887,18,27,"and",232.4,3,122.33,"pos"
0,56,43245,21,3,"and",683.03,2,78.65,"neg"
1,35,26987,41,32,"ios",321.48,2,98.36,"neg"
0,46,81035,69,26,"ios",880.94,2,87.62,"pos"
0,44,137707,0,0,"and",333.75,2,73.39,"pos"
0,54,32925,25,13,"and",494.7,4,106.54,"neg"
1,74,20087,16,2,"and",850.64,2,73.23,"neg"
0,69,213051,61,17,"ios",1058.17,3,141.12,"pos"
0,32,33221,0,5,"ios",419.45,2,62.65,"neg"
1,66,310329,16,24,"and",381.32,4,125.87,"pos"
0,73,105871,47,0,"and",801.89,5,193.94,"neg"
0,70,21817,25,18,"and",136.62,3,77,"neg"
1,57,17613,15,8,"and",489.14,3,94.47,"neg"
1,38,38205,35,10,"and",867.43,2,94.91,"neg"
1,26,75092,57,25,"and",691.6,4,150.01,"pos"
0,50,40534,28,32,"and",641.88,1,69.8,"neg"
0,22,31020,5,19,"and",595.04,2,96.62,"neg"
0,30,41252,28,5,"and",429.98,2,83.91,"neg"
0,34,82553,12,19,"ios",472.47,3,102.5,"neg"
0,44,74674,45,31,"and",127.8,2,109.42,"pos"
0,21,335505,55,0,"and",691.24,3,132.04,"pos"
1,63,29922,19,9,"and",147.42,4,134.14,"neg"
1,68,105904,39,24,"and",558.4,5,144.15,"pos"
0,26,140421,0,14,"ios",1027.43,1,56.75,"neg"
0,69,342235,31,20,"and",840.58,2,77.44,"pos"
1,36,36874,21,0,"ios",496.03,2,63.92,"neg"
1,40,36162,89,24,"and",849.52,3,114.64,"pos"
0,74,336203,14,7,"and",107.27,5,156.17,"neg"
1,22,145736,64,18,"and",831.7,5,160.86,"pos"
0,74,60347,1,0,"ios",451.56,1,58.33,"neg"
1,36,28143,20,35,"and",376.26,5,133.46,"pos"
1,39,19975,0,27,"ios",989.75,2,65.04,"neg"
1,74,27841,39,31,"and",858.51,3,111.68,"pos"
1,48,305926,27,7,"ios",370.12,1,80.68,"pos"
1,75,18037,16,31,"and",320.65,2,82.81,"neg"
0,66,15179,0,16,"ios",355.11,3,110.05,"neg"
1,61,53580,16,0,"and",695.87,2,94.12,"neg"
0,50,46385,9,18,"and",418.16,1,72.65,"neg"
1,58,20758,2,0,"and",211.43,4,138.33,"neg"
1,43,313705,3,18,"and",293.28,3,96.89,"pos"
0,62,51880,6,30,"and",783.81,4,118.9,"neg"
1,40,105712,16,0,"ios",529.19,2,85.64,"pos"
1,39,46290,0,32,"ios",735.4,3,106.17,"pos"
0,57,115550,25,14,"and",574.63,5,132.9,"neg"
1,56,16278,3,27,"ios",953.15,4,135.15,"pos"
1,37,168369,25,9,"and",739.78,2,82.4,"pos"
1,59,76396,1,49,"and",544.79,2,70.73,"pos"
1,32,109986,63,1,"ios",744.76,5,125.23,"neg"
0,40,40145,39,10,"and",699.62,2,85.71,"pos"
0,76,19847,0,3,"and",485.84,5,119.27,"neg"
0,70,221205,13,19,"and",154,5,166.25,"neg"
1,60,33864,2,24,"ios",679.68,5,137.45,"neg"
1,61,78783,45,0,"and",437.89,2,96.92,"neg"
0,25,21608,24,25,"and",252.45,2,74.57,"neg"
0,60,22319,36,0,"ios",1076.9,2,92.02,"pos"
1,33,255566,0,17,"and",829.88,3,88.29,"pos"
1,68,18261,57,28,"and",464.13,2,95.87,"pos"
1,27,89429,8,28,"ios",971.06,1,74.3,"neg"
0,73,61724,10,4,"and",393.62,2,76.37,"pos"
0,23,93739,23,5,"and",341.87,1,85.41,"pos"
1,76,51934,35,30,"and",821.8,2,77.06,"neg"
1,44,47858,0,26,"ios",707.13,3,102.61,"neg"
1,68,41161,54,45,"win",359.6,3,111.42,"neg"
0,63,23298,44,13,"and",441.21,1,70.94,"pos"
1,70,63819,0,15,"win",320.31,4,128.33,"neg"
0,70,37626,23,26,"ios",1073.96,1,47.55,"pos"
1,61,37477,25,16,"and",107.43,2,99.98,"neg"
1,41,71240,15,15,"and",392.09,3,91.93,"neg"
1,20,18447,14,18,"and",128.6,1,77.37,"neg"
1,49,22426,41,8,"and",626.08,2,99.11,"neg"
1,45,84280,10,0,"and",293.23,2,86.24,"neg"
0,59,30637,0,15,"and",223.23,2,60.65,"neg"
0,68,93671,69,9,"and",319.62,2,95.45,"pos"
1,47,85780,27,14,"ios",1009.44,1,75.61,"pos"
1,22,67555,12,13,"and",392.37,2,85.19,"neg"
0,25,58487,13,23,"and",136.96,2,79.38,"pos"
1,29,23929,46,35,"and",441.03,2,96.8,"pos"
1,35,33462,22,26,"and",597.39,1,60.26,"neg"
1,24,51867,30,16,"ios",311.03,3,76.76,"pos"
1,57,43048,0,22,"and",554.44,3,80.16,"neg"
1,62,99508,15,4,"and",433.54,2,81.74,"pos"
0,25,79313,37,27,"and",477.94,3,121.87,"pos"
1,36,202983,17,3,"and",574.2,1,56.9,"pos"
1,60,118140,35,12,"and",368.58,1,71.16,"pos"
1,78,32113,0,37,"and",874.45,3,114.35,"neg"
1,39,53824,21,38,"and",502.08,2,92.48,"pos"
1,45,117163,56,14,"ios",947.61,1,91.37,"pos"
0,57,309231,44,22,"and",213.01,5,151.48,"pos"
0,36,119122,29,21,"ios",1097.03,2,93.23,"pos"
0,24,87710,0,24,"and",649.31,1,74.53,"neg"
0,37,172293,37,22,"and",846.88,5,140.25,"pos"
0,44,136505,28,6,"and",502.22,1,73.65,"pos"
1,69,20974,31,0,"and",285.35,3,109.84,"neg"
0,24,52340,23,28,"and",502.77,1,70.04,"neg"
0,43,61059,22,29,"and",203.95,3,89.2,"neg"
0,35,41498,62,18,"and",334.73,2,108.37,"neg"
0,26,16852,0,7,"and",296.21,2,77.81,"neg"
0,48,30204,33,9,"and",255.26,3,113.47,"neg"
0,34,38079,27,16,"and",818.41,1,55.94,"pos"
0,61,77969,60,25,"and",896.47,2,69.77,"pos"
1,45,36158,2,26,"and",558.52,1,42.77,"neg"
1,69,36479,0,26,"win",366.31,3,89.58,"neg"
0,50,64793,22,15,"and",143.01,3,112.01,"neg"
0,33,79437,17,0,"and",116.83,3,109.99,"neg"
0,78,68820,0,32,"and",784.46,2,66.23,"neg"
1,26,47555,13,0,"and",170.11,5,155.18,"neg"
0,25,22160,10,15,"and",537.68,2,67.77,"neg"
1,69,86808,40,0,"and",559.13,1,64.41,"pos"
0,27,55325,47,0,"ios",946.04,1,84.52,"pos"
1,38,54990,16,20,"and",496.3,2,58.45,"pos"
1,64,102902,53,15,"and",652.15,2,95.25,"pos"
1,70,308161,66,4,"and",887.07,4,124.57,"pos"
1,56,134021,22,19,"and",477.6,2,83.41,"pos"
0,48,98264,24,0,"and",683.25,2,94.32,"pos"
0,33,73326,23,37,"ios",538.82,3,76.76,"pos"
1,73,156342,48,40,"ios",382.54,5,135.69,"pos"
0,27,93626,28,31,"and",725.32,4,156.72,"pos"
0,58,156204,26,4,"and",494.87,4,95.5,"neg"
0,61,34247,8,22,"ios",817.64,2,87.82,"neg"
0,26,185761,32,26,"and",748.52,2,99.57,"pos"
1,24,25326,43,28,"and",150.72,4,131.91,"neg"
0,25,19203,24,21,"and",754.7,3,104.82,"neg"
0,72,18914,0,0,"and",367.93,1,62.39,"neg"
0,49,20743,45,11,"ios",970.76,2,73.34,"neg"
1,25,117991,31,32,"and",153.97,5,146.34,"pos"
1,34,17227,20,0,"and",439.41,1,58.15,"neg"
0,37,220351,43,14,"and",265.63,3,115.84,"pos"
1,56,30659,29,16,"and",158.36,2,84.2,"neg"
0,47,60652,42,0,"and",549.62,2,81.97,"neg"
1,61,76681,34,37,"ios",309.47,3,76.05,"pos"
0,44,128714,0,21,"and",315.88,4,110.49,"neg"
1,25,83910,35,0,"ios",1096.95,2,87.3,"pos"
0,32,30751,54,22,"and",832.61,2,77.09,"neg"
1,79,126872,13,0,"and",264.75,4,139.94,"neg"
1,65,26902,10,40,"and",680.79,1,54.06,"neg"
0,63,216082,0,0,"ios",908.11,2,90.7,"pos"
1,27,147681,0,11,"and",723.12,2,64.01,"pos"
0,66,22358,59,10,"ios",336.98,2,81.58,"pos"
1,46,126025,24,53,"and",431.11,3,88.82,"neg"
1,48,29162,27,17,"and",863.73,2,107.17,"neg"
0,63,20417,18,29,"ios",961.43,1,64.52,"pos"
0,61,229426,0,23,"and",111.9,4,101.03,"neg"
1,23,115582,0,19,"other",139.81,3,79.91,"neg"
1,48,79147,8,36,"and",577.23,3,120.65,"neg"
1,64,333289,16,15,"ios",832,4,124.04,"pos"
1,49,46889,34,33,"ios",403.52,2,90.65,"pos"
1,57,31158,12,23,"and",427.04,1,58.93,"pos"
0,47,74239,0,19,"and",139.66,3,125.9,"pos"
0,47,70112,21,30,"and",217.56,1,76.73,"pos"
1,70,19744,0,0,"and",706.45,1,63.27,"neg"
0,71,22594,23,27,"and",873.45,2,73.85,"pos"
1,37,219408,45,15,"ios",599.29,4,141.95,"pos"
0,63,134155,10,41,"and",474.44,5,106.41,"pos"
1,50,101441,31,10,"ios",931.1,1,55.28,"pos"
0,45,61511,40,37,"and",172.66,2,107.09,"pos"
0,73,75929,29,24,"and",380.21,1,66.86,"pos"
0,42,35837,28,14,"and",570.01,3,80.36,"neg"
1,72,29669,48,26,"and",301.85,5,107.39,"neg"
0,27,55759,34,0,"and",504.37,4,141.64,"neg"
0,35,99423,35,24,"ios",401.5,1,53.64,"pos"
0,79,311927,10,18,"ios",787.6,4,146.52,"pos"
0,21,98415,52,23,"and",347.37,2,91.03,"pos"
0,20,69780,0,2,"and",399.93,1,56.09,"neg"
0,27,29779,0,30,"and",634.8,2,91.24,"neg"
0,51,50442,7,18,"and",805.52,2,61.43,"neg"
1,25,80292,20,12,"and",633.82,2,110.85,"neg"
0,34,74267,45,20,"other",75.78,2,107.14,"pos"
1,60,29688,0,11,"and",877.37,1,58.19,"neg"
0,27,49642,47,0,"ios",745.08,3,107.42,"pos"
1,72,68385,0,19,"ios",312.97,1,56.83,"pos"
0,77,32527,40,51,"ios",331.42,2,79.76,"pos"
1,63,71050,6,0,"and",225.93,1,62.19,"neg"
1,64,19047,49,16,"and",427.15,2,106.45,"neg"
1,48,32172,1,38,"and",562.97,1,75.68,"neg"
1,62,27380,15,10,"and",641.49,3,102.55,"neg"
0,60,16968,2,47,"and",331.22,3,123.67,"neg"
0,73,64472,5,0,"ios",922.08,1,64.77,"pos"
1,32,49299,34,12,"and",742.07,1,70.57,"pos"
0,70,147506,21,0,"other",174.97,4,118.65,"neg"
0,72,21184,3,14,"and",667.98,3,77.86,"neg"
0,53,63977,64,26,"and",663.59,1,82.45,"pos"
0,44,27419,22,37,"ios",550.55,1,82.38,"pos"
1,71,141746,26,8,"ios",711.94,2,101.57,"neg"
0,59,20285,67,16,"and",469.18,1,89.51,"pos"
1,72,67761,19,8,"and",524.39,2,72.37,"neg"
1,71,67297,0,20,"and",277.05,2,78.04,"neg"
1,61,138610,0,35,"ios",1030.73,2,85.96,"pos"
1,37,57555,0,27,"and",177.82,1,51.63,"neg"
1,21,18676,0,0,"ios",453.76,3,90.96,"neg"
1,61,73518,9,6,"and",337.35,3,89.74,"neg"
1,23,77611,32,53,"and",315.49,2,75.82,"pos"
0,77,108274,24,9,"ios",551.19,3,70.23,"pos"
1,57,57090,20,11,"and",172.58,2,83.26,"neg"
0,37,168414,39,9,"and",843,3,97.34,"pos"
0,32,305983,38,5,"and",265.47,2,104.99,"pos"
0,60,23323,26,20,"and",654.35,2,78.35,"neg"
1,38,21034,21,16,"ios",362.84,1,75.57,"pos"
0,57,122795,38,0,"and",179.07,3,114.42,"neg"
1,43,33517,5,0,"win",335.5,2,78.37,"neg"
0,62,126534,40,35,"and",781.95,2,89.62,"pos"
0,23,46082,29,16,"ios",371.82,2,78.43,"neg"
1,32,32049,36,0,"and",467.08,2,96.67,"neg"
1,35,58265,10,0,"ios",544.91,3,101.16,"pos"
1,47,32861,75,27,"and",379.13,1,95.11,"pos"
1,57,40614,73,16,"and",180.67,2,113.68,"pos"
0,22,66672,0,5,"win",307.59,2,73.1,"neg"
1,46,51773,0,27,"and",882.99,3,101.65,"neg"
0,48,23588,16,11,"and",500.97,3,114.54,"neg"
1,26,99990,0,23,"and",401.92,2,80.8,"neg"
0,51,19015,0,2,"and",537.63,2,58.44,"neg"
0,48,66463,26,22,"and",271.95,1,57.76,"pos"
0,73,305158,2,18,"and",281.41,5,156.46,"pos"
1,78,42438,41,10,"ios",681.09,4,155.26,"pos"
0,62,71684,40,0,"other",44.29,2,70.82,"neg"
0,49,249343,32,3,"other",201.3,5,159.96,"neg"
1,39,50761,4,15,"and",100.09,3,67.6,"neg"
1,45,63050,25,3,"and",720.53,2,84.48,"neg"
0,64,56418,50,33,"and",694.22,1,66.02,"pos"
1,65,296387,52,8,"and",161.85,5,114.33,"pos"
1,76,89937,12,3,"and",574.3,2,88.59,"neg"
1,61,64002,0,20,"and",415.95,1,59.35,"neg"
0,43,85044,13,19,"and",582.31,1,73.23,"pos"
0,33,68904,7,23,"and",382.73,2,79.73,"neg"
